exporter,importer,commodity,mode,year,source,value_usd
Russia,Bolivia,Fertilizer,Road,2022,UN Comtrade public preview,6323059.0
Latvia,Bulgaria,Fertilizer,Road,2022,UN Comtrade public preview,6291167.037
Israel,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,6182172.0
Morocco,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,5971770.0
Azerbaijan,Moldova,Fertilizer,Road,2022,UN Comtrade public preview,5951784.0
South Africa,Mozambique,Fertilizer,Sea,2022,UN Comtrade public preview,5910078.348
Austria,Romania,Fertilizer,Rail,2022,UN Comtrade public preview,5825797.54
Austria,Moldova,Fertilizer,Road,2022,UN Comtrade public preview,5571336.0
Netherlands,Bulgaria,Fertilizer,Road,2022,UN Comtrade public preview,5548550.484
China,Colombia,Fertilizer,Road,2022,UN Comtrade public preview,5456775.4
Kazakhstan,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,5375639.72
Uzbekistan,Moldova,Fertilizer,Rail,2022,UN Comtrade public preview,5258846.0
Russia,Moldova,Fertilizer,Road,2022,UN Comtrade public preview,5214914.0
China,Mauritius,Fertilizer,Sea,2022,UN Comtrade public preview,5115176.696
Germany,Moldova,Fertilizer,Road,2022,UN Comtrade public preview,5110092.0
Italy,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,4992277.952
China,Bulgaria,Fertilizer,Sea,2022,UN Comtrade public preview,4966874.36
Serbia,Bulgaria,Fertilizer,Road,2022,UN Comtrade public preview,4931954.44
Bahrain,Burkina Faso,Fertilizer,Road,2022,UN Comtrade public preview,4878015.156
Lithuania,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,4804888.718
Portugal,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,4783169.267
Saudi Arabia,Moldova,Fertilizer,Sea,2022,UN Comtrade public preview,4767272.0
Turkey,Moldova,Fertilizer,Road,2022,UN Comtrade public preview,4701406.0
Spain,Bolivia,Fertilizer,Road,2022,UN Comtrade public preview,4624584.0
United Kingdom,Mexico,Fertilizer,Sea,2022,UN Comtrade public preview,4598081.0
Israel,Bulgaria,Fertilizer,Sea,2022,UN Comtrade public preview,4579418.926
Ghana,Burkina Faso,Fertilizer,Road,2022,UN Comtrade public preview,4489612.78
United Arab Emirates,Bulgaria,Fertilizer,Sea,2022,UN Comtrade public preview,4467013.51
Ukraine,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,4441596.0
Israel,Myanmar,Fertilizer,Sea,2022,UN Comtrade public preview,4359880.0
Lithuania,Romania,Fertilizer,Road,2022,UN Comtrade public preview,4343980.3
Italy,Moldova,Fertilizer,Road,2022,UN Comtrade public preview,4316140.0
Russia,Angola,Fertilizer,Sea,2022,UN Comtrade public preview,4265639.353
Croatia,Montenegro,Fertilizer,Road,2022,UN Comtrade public preview,4178516.392
Poland,Moldova,Fertilizer,Road,2022,UN Comtrade public preview,4129472.0
Uzbekistan,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,4035480.0
Austria,Czechia,Fertilizer,Rail,2022,UN Comtrade public preview,4032272.0
Kazakhstan,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,3973428.0
Italy,Mexico,Fertilizer,Sea,2022,UN Comtrade public preview,3886262.0
Serbia,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,3844495.735
Lebanon,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,3708334.72
Serbia,Moldova,Fertilizer,Road,2022,UN Comtrade public preview,3695286.0
Serbia,Montenegro,Fertilizer,Road,2022,UN Comtrade public preview,3677852.408
Spain,Moldova,Fertilizer,Road,2022,UN Comtrade public preview,3642300.0
Portugal,Bulgaria,Fertilizer,Sea,2022,UN Comtrade public preview,3639653.95
Germany,Cyprus,Fertilizer,Sea,2022,UN Comtrade public preview,3619549.282
Iran,Myanmar,Fertilizer,Sea,2022,UN Comtrade public preview,3499439.0
Spain,Angola,Fertilizer,Sea,2022,UN Comtrade public preview,3460324.583
Sweden,Montenegro,Fertilizer,Road,2022,UN Comtrade public preview,3437584.928
Peru,Bolivia,Fertilizer,Road,2022,UN Comtrade public preview,3404699.0
United Kingdom,Romania,Fertilizer,Road,2022,UN Comtrade public preview,3312233.76
Latvia,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,3275512.0
Egypt,Czechia,Fertilizer,Rail,2022,UN Comtrade public preview,3273660.0
Mexico,Bolivia,Fertilizer,Road,2022,UN Comtrade public preview,3079747.0
Canada,Mexico,Fertilizer,Rail,2022,UN Comtrade public preview,3060629.0
Netherlands,Moldova,Fertilizer,Road,2022,UN Comtrade public preview,3000244.0
Spain,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,2940950.735
Spain,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,2917582.0
Egypt,North Macedonia,Fertilizer,Road,2022,UN Comtrade public preview,2915728.46
Finland,Czechia,Fertilizer,Rail,2022,UN Comtrade public preview,2904972.0
Egypt,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,2783012.0
Morocco,Mauritius,Fertilizer,Sea,2022,UN Comtrade public preview,2759330.682
Czechia,Romania,Fertilizer,Road,2022,UN Comtrade public preview,2708120.52
United Kingdom,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,2667178.657
Lithuania,Bulgaria,Fertilizer,Road,2022,UN Comtrade public preview,2615788.926
Romania,Bulgaria,Fertilizer,Rail,2022,UN Comtrade public preview,2551193.848
Czechia,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,2550016.471
Vietnam,Mauritius,Fertilizer,Sea,2022,UN Comtrade public preview,2543157.162
Colombia,Bolivia,Fertilizer,Road,2022,UN Comtrade public preview,2516116.0
Namibia,Angola,Fertilizer,Road,2022,UN Comtrade public preview,2487917.246
Croatia,Bulgaria,Fertilizer,Road,2022,UN Comtrade public preview,2484821.484
Egypt,Mexico,Fertilizer,Sea,2022,UN Comtrade public preview,2453134.0
Germany,Colombia,Fertilizer,Road,2022,UN Comtrade public preview,2369620.52
Argentina,Bolivia,Fertilizer,Road,2022,UN Comtrade public preview,2334326.0
Georgia,Czechia,Fertilizer,Rail,2022,UN Comtrade public preview,2242992.0
United Arab Emirates,Mozambique,Fertilizer,Sea,2022,UN Comtrade public preview,2220467.324
China,Moldova,Fertilizer,Sea,2022,UN Comtrade public preview,2196624.0
South Africa,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,2101697.337
Russia,Czechia,Fertilizer,Rail,2022,UN Comtrade public preview,2077170.0
Brazil,Mexico,Fertilizer,Sea,2022,UN Comtrade public preview,2045226.0
Italy,Montenegro,Fertilizer,Road,2022,UN Comtrade public preview,1903843.286
Hungary,Moldova,Fertilizer,Road,2022,UN Comtrade public preview,1869772.0
Laos,Myanmar,Fertilizer,Sea,2022,UN Comtrade public preview,1854000.0
Turkey,North Macedonia,Fertilizer,Road,2022,UN Comtrade public preview,1836470.81
Italy,Colombia,Fertilizer,Road,2022,UN Comtrade public preview,1772268.48
Austria,Montenegro,Fertilizer,Road,2022,UN Comtrade public preview,1761436.692
Croatia,North Macedonia,Fertilizer,Road,2022,UN Comtrade public preview,1713225.3
Israel,Cyprus,Fertilizer,Sea,2022,UN Comtrade public preview,1704540.332
Bulgaria,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,1703816.06
Kazakhstan,Armenia,Fertilizer,Road,2022,UN Comtrade public preview,1696409.6
